Freq,SA Max Hold,N medición
4079500000,-57.5493202941298,\AutoSave102.csv
4080000000,-58.7260333078315,\AutoSave102.csv
4080500000,-58.0432736184227,\AutoSave102.csv
4081000000,-58.082857852967,\AutoSave102.csv
4081500000,-59.2774244886604,\AutoSave102.csv
4082000000,-58.3318278015054,\AutoSave102.csv
4082500000,-58.1327653738495,\AutoSave102.csv
4083000000,-58.9662369300934,\AutoSave102.csv
4083500000,-59.0889755075313,\AutoSave102.csv
4084000000,-59.1359485144511,\AutoSave102.csv
4084500000,-57.682101054118,\AutoSave102.csv
4085000000,-57.7160655654685,\AutoSave102.csv
4085500000,-57.578691586086,\AutoSave102.csv
4086000000,-57.9825970714427,\AutoSave102.csv
4086500000,-59.0594623089156,\AutoSave102.csv
4087000000,-59.5530197016112,\AutoSave102.csv
4087500000,-57.9087580053558,\AutoSave102.csv
4088000000,-58.5688525249713,\AutoSave102.csv
4088500000,-58.5528691024349,\AutoSave102.csv
4089000000,-58.0291542390819,\AutoSave102.csv
4089500000,-58.1505735101367,\AutoSave102.csv
4090000000,-58.2104833429509,\AutoSave102.csv
4090500000,-60.2290980034449,\AutoSave102.csv
4091000000,-59.0011211972435,\AutoSave102.csv
4091500000,-58.4453138529387,\AutoSave102.csv
4092000000,-58.7364735642216,\AutoSave102.csv
4092500000,-59.2074267134052,\AutoSave102.csv
4093000000,-57.9638083903365,\AutoSave102.csv
4093500000,-57.8898083267195,\AutoSave102.csv
4094000000,-57.0113571533122,\AutoSave102.csv
4094500000,-58.0051468457639,\AutoSave102.csv
4095000000,-56.858585495721,\AutoSave102.csv
4095500000,-58.6171752934727,\AutoSave102.csv
4096000000,-57.9296948373149,\AutoSave102.csv
4096500000,-57.922440461992,\AutoSave102.csv
4097000000,-58.1440761378903,\AutoSave102.csv
4097500000,-58.6494412704951,\AutoSave102.csv
4098000000,-57.4142083922882,\AutoSave102.csv
4098500000,-57.8204588941252,\AutoSave102.csv
4099000000,-58.7824520859419,\AutoSave102.csv
4099500000,-58.9163395757303,\AutoSave102.csv
4100000000,-58.6346648752883,\AutoSave102.csv
4100500000,-57.6088680373759,\AutoSave102.csv
4101000000,-59.0337491245773,\AutoSave102.csv
4101500000,-58.771098338767,\AutoSave102.csv
4102000000,-58.8803300183568,\AutoSave102.csv
4102500000,-57.3443678411402,\AutoSave102.csv
4103000000,-58.8180690283011,\AutoSave102.csv
4103500000,-56.48838760691,\AutoSave102.csv
4104000000,-58.6460980609926,\AutoSave102.csv
4104500000,-58.9872008611696,\AutoSave102.csv
4105000000,-57.9924063299195,\AutoSave102.csv
4105500000,-57.7199366740106,\AutoSave102.csv
4106000000,-57.7895354178241,\AutoSave102.csv
